MENU_WELCOME;いらっしゃいませ！
REG_CUP;登録ユーザーは10%割引になります
M_BACK_OPT;コマンド「0」でメニューに戻ることができます。
M_OPT_1;ストアを閲覧する
M_OPT_2;カートを確認する
M_OPT_3;カートに商品を追加する
M_OPT_4;カートの商品の量を変える
M_OPT_5;カートから商品を削除
M_OPT_6;購入を完了する
M_OPT_7;ログイン
M_OPT_8;登録
M_OPT_9;従業員になる
M_OPT_10;パスワードをリマインドする
M_OPT_11;言語を英語に変更する
M_OPT_12;終了
OPT_SELECT;何をしたいですか？：
WRN_M_COMMAND;間違ったコマンド
STORE_EMPT;ごめんなさい、店内は空いてます！
BYE;またお会いできるのを楽しみにしています！
PRD_QNT;量：
PRD_N_QNT;新しい量：
WRN_QNT;数量が不正です。
SUCC_CHNQ;カートが更新されました！
PRD_ADD_CART;商品はカートに追加されました！
MENU_BACK;メニューに戻っています...
NAME;お客様の名前：
NAME_ERR;名前は2〜15文字の英字のみである必要があります。
LOGIN;ログイン：
PSWD;パスワード：
WRN_LOGIN;ログインまたはパスワードが間違っています。
PSWD_ERR;パスワードは6〜20文字で、少なくとも1つの英字、数字、特殊文字を含める必要があります。
EMAIL;メールアドレスを入力してください:
EMAIL_ERR;有効なメールアドレスではありません。
EMAIL_EXST;このメールアドレスは既に登録されています。
EMAIL_CHANGED;メールアドレスは変わりました！
ACC_CREATED;アカウントが正常に作成されました！
SUCC_LOG;ログインに成功しました！
WRN_NAME_EMAIL;メールアドレスまたは名前が間違っています。
YOUR_PASS;お客様のパスワード：
NEW_PASS;新しいパスワード：
NEW_PASS_CHNGD;パスワードが変更されました！
EMP_CART;カートは空です！
WRN_PRD;そのような商品は店にありません。
PRD_NAME;商品名：
NOT_IN_C;このような商品はカートにありません！
ITM_REMV;商品がカートから削除されました！
CRT_SUM;カートの概要：
LNG_CHN;言語が変更されました！
DSC_CRT_SUM;割引後のカートの概要：
THNK_SHP;お買い上げありがとうございます！
ACC_DEL;アカウントが削除されました！
LOG_OUT;ログアウト中。。。
U_MENU_1;アカウント詳細を表示
U_MENU_2;メールアドレスを変更する
U_MENU_3;パスワードを変更する
U_MENU_4;店舗検索
U_MENU_5;カートを見る
U_MENU_6;カートに入れる
U_MENU_7;カート内の商品の数量を変更
U_MENU_8;カートから商品を削除
U_MENU_9;購入を完了する
U_MENU_10;言語を英語に変更する
U_MENU_11;アカウントを削除
U_MENU_12;ログアウト
U_MENU_13;終了
S_ACC_0;名前
S_ACC_1;メールアドレス
S_ACC_2;パスワード
S_ACC_3;アカウントタイプ
N_EMAIL;新しいメールアドレス：
A_MENU_1;アカウント詳細を表示
A_MENU_2;メールアドレスを変更
A_MENU_3;パスワードを変更
A_MENU_4;ストアを閲覧
A_MENU_5;カートを確認
A_MENU_6;カートに商品を追加
A_MENU_7;カート内の商品の数量を変更
A_MENU_8;カートから商品を削除
A_MENU_9;購入を完了する
A_MENU_10;ストアに新しい商品を追加
A_MENU_11;ストア内の商品の数量を変更
A_MENU_12;ストアから商品を削除
A_MENU_13;言語を英語に変更
A_MENU_14;アカウントを削除
A_MENU_15;ログアウト
A_MENU_16;終了
EN_PRD_NAME;英語で商品の名前：
JP_PRD_NAME;日本語で商品の名前：
PRD_AL_EXT;商品はもう存在します！
NEW_PRD_PRICE;米ドルでの商品価格：
WRN_PRD_PRICE;不正な価格金額です。
PRD_ADD_ST;商品がストアに追加されました！
PRD_REM_ST;商品はストアから削除されました！
QNT_CHN;数量が更新されました！
WRN_PRD_NAME;新しい商品の名前は違います！
